params_C,params_degree,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
1.0,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5051,0.134
10.0,4,auto,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5084,0.1425
10.0,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5064,0.1413
10.0,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5007,0.136
100.0,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.7997,0.4217
100.0,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5496,0.1216
25.0,4,auto,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5063,0.1417
25.0,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5104,0.1508
1.0,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.6989,0.4498
1.0,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.6422,0.108
0.05,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5336,0.1452
0.05,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5146,0.1484
0.1,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.8209,0.3162
0.1,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5204,0.1512
100.0,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5363,0.1582
100.0,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5295,0.1512
10.0,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.8017,0.4727
10.0,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5467,0.1241
25.0,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.8221,0.184
25.0,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5404,0.1524
50.0,4,10,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5292,0.1526
50.0,4,100,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5221,0.1461
