params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.125,0.75,0.75,4,False,43.6,15.868207208125307,0.976,0.0233,0.7387,0.0529,0.728,0.0803,0.9987,0.0013,0.9804,0.0063,0.8651,0.0759,0.5151,0.0801,0.9613,0.0317,0.7815,0.0597,0.5094,0.1005
0.025,1.0,0.1,3,True,540.4,157.55411768659047,0.9918,0.0098,0.7387,0.0778,0.7261,0.1042,0.9997,0.0004,0.9803,0.009,1.0,0.0,0.809,0.0676,0.6803,0.1279,0.4981,0.0142,2.3085,0.717
0.075,1.0,0.75,3,True,191.0,49.83472684785179,0.9978,0.0022,0.7387,0.0627,0.7277,0.0901,0.9999,0.0001,0.9804,0.0086,1.0,0.0,0.822,0.0589,0.6833,0.0492,0.5303,0.0272,1.2655,0.1864
0.05,0.1,0.75,3,False,110.2,35.86363060260352,0.9318,0.0397,0.7386,0.0839,0.7272,0.1034,0.9962,0.0023,0.98,0.0084,0.7401,0.0981,0.4959,0.0936,0.933,0.0366,0.7983,0.1265,0.9339,0.2583
0.025,0.75,0.75,3,False,208.6,72.73101126754666,0.9276,0.0295,0.7385,0.077,0.728,0.0968,0.996,0.0017,0.9796,0.0078,0.7189,0.0651,0.4959,0.0936,0.9293,0.0384,0.7953,0.1208,0.9903,0.2939
0.025,0.0,0.1,5,False,158.4,37.058062550543575,0.9966,0.0031,0.7385,0.0762,0.7293,0.0952,0.9998,0.0002,0.9794,0.0074,0.9408,0.0356,0.4922,0.1497,0.9882,0.0087,0.7852,0.1109,1.5635,0.35
0.125,0.1,1.0,2,True,191.0,23.515952032609693,0.9788,0.0147,0.7385,0.0724,0.7252,0.1016,0.9991,0.0006,0.9804,0.0083,1.0,0.0,0.867,0.0783,0.6116,0.0449,0.4995,0.0273,0.7451,0.1051
0.05,0.0,0.1,5,False,74.2,3.2710854467592245,0.9958,0.0039,0.7385,0.0768,0.7309,0.0956,0.9998,0.0002,0.979,0.0075,0.9261,0.0411,0.4928,0.1519,0.9913,0.0075,0.7666,0.0806,0.7634,0.076
0.1,1.0,0.75,3,True,155.8,32.75973137863008,0.9973,0.0037,0.7385,0.0764,0.7248,0.1044,0.9999,0.0002,0.9807,0.0084,1.0,0.0,0.807,0.0923,0.7298,0.1075,0.5409,0.0253,1.1462,0.2109
0.125,0.0,1.0,2,True,172.8,34.375863625514924,0.971,0.0179,0.7384,0.0779,0.726,0.1065,0.9988,0.0008,0.9806,0.0083,1.0,0.0,0.8715,0.0619,0.5875,0.0529,0.4939,0.032,0.6843,0.1224
0.125,0.0,0.75,3,False,46.0,16.867127793433,0.9293,0.0434,0.7384,0.0515,0.7305,0.0717,0.9959,0.0026,0.9799,0.0067,0.7542,0.0904,0.5136,0.0334,0.9129,0.0503,0.7843,0.0746,0.4489,0.0687
